cluster_id,node_count,edge_count,triangle_count,runs_in_cluster,E,E_oriented,r,orientation_score,triangle_homogeneity_pre,triangle_homogeneity_post,delta
cc_000,31,129,237,60,119.28529401871215,102.88491612968771,3,0.2706766917293233,0.22133940016033796,0.22133772967550383,-1.6704848341264622e-06
cc_001,13,33,31,30,41.143835656205134,37.292665105707236,2,0.36612021857923494,0.03225806451612903,0.03225806451612903,0.0
cc_002,16,66,125,30,45.99899270265991,40.40822974921044,2,0.4891304347826087,0.1847918171032542,0.18458879285616683,-0.00020302424708737443
cc_003,16,66,127,30,68.80642937825155,61.72128463805035,2,0.29328621908127206,0.17379856357569048,0.1737030829469206,-9.54806287698784e-05
cc_004,16,61,105,30,90.04849267251386,77.57784742094576,2,0.03311258278145695,0.24981217247988907,0.2498567512121353,4.457873224622544e-05
